Trilha,Coleta,Tribo,Gênero,Espécies,abundância
TA,0m,Satyrini,Taygetis,Taygetis thamyra,1
TA,100m,Epicaliini,Nessaea,Nessaea hewitsonii,1
TA,100m,Epicaliini,Nessaea,Nessaea obrinus,2
TA,100m,Satyrini,Taygetis,Taygetis virgilia,1
TA,300m,Epicaliini,Catonephele,Catonephele orites,1
TA,300m,Satyrini,Magneuptychia,Magneuptychia fugitiva,1
TA,700m,Epicaliini,Nessaea,Nessaea hewitsonii,1
TA,700m,Epicaliini,Nessaea,Nessaea obrinus,2
TA,700m,Satyrini,Taygetis,Taygetis virgilia,1
TA,1700m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,1700m,Satyrini,Taygetis,Taygetis echo,2
TA,1700m,Satyrini,Taygetis,Taygetis virgilia,1
TA,0m,Brassolini,Bia,Bia actorion,1
TA,0m,Coeini,Colobura,Colobura annulata,1
TA,0m,Coeini,Colobura,Colobura dirce,1
TA,0m,Epicaliini,Nessaea,Nessaea hewitsonii,2
TA,0m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,0m,Satyrini,Cissia,Cissia penelope,1
TA,0m,Satyrini,Taygetis,Taygetis virgilia,1
TA,100m,Epicaliini,Catonephele,Catonephele acontius,1
TA,100m,Epicaliini,Nessaea,Nessaea batesii,1
TA,100m,Epicaliini,Nessaea,Nessaea hewitsonii,1
TA,100m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,100m,Satyrini,Taygetis,Taygetis cleopatra,1
TA,100m,Satyrini,Taygetis,Taygetis cleopatra,1
TA,300m,Epicaliini,Catonephele,Catonephele orites,1
TA,300m,Epicaliini,Nessaea,Nessaea obrinus,6
TA,300m,Epicaliini,Nessaea,Nessaea obrinus,3
TA,300m,Satyrini,Cissia,Cissia palladia,1
TA,300m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,1
TA,300m,Satyrini,Taygetis,Taygetis echo,1
TA,300m,Satyrini,Taygetis,Taygetis thamyra,1
TA,700m,Satyrini,Caeruleuptychia,Caeruleuptychia coelestis,2
TA,700m,Satyrini,Magneuptychia,Magneuptychia fugitiva,1
TA,1700m,Epicaliini,Nessaea,Nessaea hewitsonii,2
TA,1700m,Epicaliini,Nessaea,Nessaea obrinus,2
TA,1700m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,1700m,Preponini,Archaeoprepona,Archaeoprepona amphimachus,1
TA,1700m,Satyrini,Magneuptychia,Magneuptychia iris,1
TA,1700m,Satyrini,Magneuptychia,Magneuptychia ocypete,2
TA,1700m,Satyrini,Taygetis,Taygetis virgilia,1
TA,0m,Epicaliini,Nessaea,Nessaea hewitsonii,1
TA,100m,Coeini,Colobura,Colobura annulata,1
TA,100m,Coeini,Colobura,Colobura annulata,1
TA,100m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,100m,Morphini,Morpho,Morpho achilles,1
TA,100m,Satyrini,Opsiphanes,Opsiphanes invirae,1
TA,100m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,2
TA,100m,Satyrini,Taygetis,Taygetis virgilia,1
TA,300m,Coeini,Colobura,Colobura annulata,1
TA,300m,Coeini,Colobura,Colobura dirce,2
TA,300m,Epicaliini,Nessaea,Nessaea obrinus,4
TA,300m,Satyrini,Magneuptychia,Magneuptychia iris,2
TA,700m,Satyrini,Antirrhea,Antirrhea philaretes  ,1
TA,700m,Satyrini,Magneuptychia,Magneuptychia iris,2
TA,700m,Satyrini,Magneuptychia,Magneuptychia iris,4
TA,700m,Morphini,Morpho,Morpho achilles,1
TA,700m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,2
TA,700m,Satyrini,Taygetis,Taygetis cleopatra,1
TA,700m,Satyrini,Taygetis,Taygetis cleopatra,1
TA,700m,Satyrini,Taygetis,Taygetis virgilia,1
TA,1700m,Epicaliini,Catonephele,Catonephele orites,1
TA,1700m,Epicaliini,Nessaea,Nessaea batesii,2
TA,1700m,Epicaliini,Nessaea,Nessaea hewitsonii,1
TA,1700m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,1700m,Haeterini,Pierella,Pierella lena,1
TA,1700m,Preponini,Prepona,Prepona laertes,1
TA,1700m,Satyrini,Magneuptychia,Magneuptychia iris,1
TA,1700m,Satyrini,Taygetis,Taygetis cleopatra,2
TA,0m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,3
TA,100m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,1
TA,100m,Satyrini,Taygetis,Taygetis virgilia,1
TA,300m,Coeini,Colobura,Colobura dirce,2
TA,300m,Coeini,Nessaea,Nessaea hewitsonii,2
TA,300m,Epicaliini,Nessaea,Nessaea obrinus,3
TA,700m,Haeterini,Pierella,Pierella lena,1
TA,700m,Satyrini,Chloreuptychia,Chloreuptychia arnaca ,1
TA,700m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,1
TA,700m,Satyrini,Pseudodebis,Pseudodebis valentina,1
TA,1700m,Epicaliini,Nessaea,Nessaea batesii,1
TA,1700m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,1700m,Preponini,Archaeoprepona,Archaeoprepona demophon,1
TA,0m,s/a,s/a,s/a,0
TA,100m,Anaeini,Memphis,Memphis laertes,1
TA,100m,Coeini,Colobura,Colobura dirce,2
TA,100m,Coeini,Tigridia,Tigridia acesta,1
TA,100m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,100m,Preponini,Archaeoprepona,Archaeoprepona amphimachus,1
TA,300m,Coeini,Nessaea,Nessaea hewitsonii,1
TA,300m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,300m,Preponini,Archaeoprepona,Archaeoprepona demophon,1
TA,700m,s/a,s/a,s/a,0
TA,1700m,Epicaliini,Nessaea,Nessaea hewitsonii,2
TA,1700m,Morphini,Morpho,Morpho helenor,1
TA,1700m,Satyrini,Chloreuptychia,Chloreuptychia herseis,1
TA,0m,Coeini,Colobura,Colobura dirce,1
TA,100m,Coeini,Colobura,Colobura annulata,2
TA,100m,Coeini,Colobura,Colobura dirce,1
TA,100m,Satyrini,Caeruleuptychia,Caeruleuptychia penicillata,1
TA,100m,Satyrini,Magneuptychia,Magneuptychia iris,1
TA,100m,Satyrini,Pareuptychia,Pareuptychia hesionides,1
TA,300m,Anaeini,Zaretis,Zaretis itys,1
TA,300m,Coeini,Colobura,Colobura dirce,1
TA,300m,Satyrini,Caeruleuptychia,Caeruleuptychia coelestis,1
TA,700m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,700m,Epicaliini,Nessaea,Nessaea obrinus,2
TA,700m,Preponini,Archaeoprepona,Archaeoprepona amphimachus,1
TA,700m,Satyrini,Chloreuptychia,Chloreuptychia herseis,2
TA,700m,Satyrini,Magneuptychia,Magneuptychia iris,1
TA,700m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,1
TA,700m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,1
TA,1700m,Coeini,Colobura,Colobura dirce,1
TA,1700m,Epicaliini,Nessaea,Nessaea hewitsonii,3
TA,1700m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,1700m,Morphini,Morpho,Morpho helenor,1
TA,1700m,Satyrini,Caeruleuptychia,Caeruleuptychia coelestis,1
TA,0m,s/a,s/a,s/a,0
TA,100m,Coeini,Colobura,Colobura dirce,1
TA,100m,Epicaliini,Nessaea,Nessaea obrinus,1
TA,300m,Morphini,Morpho,Morpho helenor,1
TA,300m,Satyrini,Taygetis,Taygetis cleopatra,1
TA,700m,Coeini,Colobura,Colobura dirce,1
TA,700m,Satyrini,Chloreuptychia,Chloreuptychia herseis,1
TA,700m,Satyrini,Magneuptychia,Magneuptychia fugitiva,1
TA,700m,Satyrini,Taygetis,Taygetis virgilia,1
TA,1700m,Haeterini,Cithaerias,Cithaerias andromeda ,1
TB,0m,s/a,s/a,s/a,0
TB,100m,Coeini,Colobura,Colobura dirce,1
TB,100m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,1
TB,300m,Brassolini,Opsiphanes,Opsiphanes invirae ,2
TB,300m,Epicaliini,Nessaea,Nessaea obrinus,1
TB,300m,Morphini,Morpho,Morpho achilles,1
TB,700m,Epicaliini,Nessaea,Nessaea obrinus,1
TB,700m,Satyrini,Chloreuptychia,Chloreuptychia herseis,1
TB,700m,Satyrini,Magneuptychia,Magneuptychia fugitiva,1
TB,700m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,1
TB,700m,Satyrini,Taygetis,Taygetis cleopatra,1
TB,700m,Satyrini,Taygetis,Taygetis virgilia,1
TB,1700m,Haeterini,Pierella,Pierella lena,2
TB,1700m,Satyrini,Taygetis,Taygetis cleopatra,1
TB,0m,s/a,s/a,s/a,0
TB,100m,Epicaliini,Nessaea,Nessaea obrinus,1
TB,100m,Satyrini,Taygetis,Taygetis cleopatra,1
TB,100m,Satyrini,Taygetis,Taygetis virgilia,1
TB,300m,Brassolini,Caligo,Caligo idomeneus,1
TB,700m,s/a,s/a,s/a,0
TB,1700m,Satyrini,Magneuptychia,Magneuptychia iris,2
TB,0m,s/a,s/a,s/a,0
TB,100m,s/a,s/a,s/a,0
TB,300m,Haeterini,Pierella,Pierella lena,1
TB,300m,Morphini,Morpho,Morpho helenor,1
TB,700m,Haeterini,Pierella,Pierella astyoche,1
TB,700m,Haeterini,Pierella,Pierella lena,2
TB,700m,Satyrini,Splendeuptychia,Splendeuptychia sp.,1
TB,700m,Satyrini,Taygetis,Taygetis cleopatra,1
TB,1700m,Satyrini,Nhambikuara,Nhambikuara mima,1
TB,0m,Preponini,Archaeoprepona,Archaeoprepona demophon,1
TB,100m,Epicaliini,Catonephele,Catonephele acontius,1
TB,300m,Morphini,Morpho,Morpho menelaus,1
TB,700m,Satyrini,Magneuptychia,Magneuptychia iris,1
TB,700m,Satyrini,Taygetis,Taygetis rufomarginata,1
TB,1700m,Haeterini,Pierella,Pierella lena,1
TB,1700m,Preponini,Archaeoprepona,Archaeoprepona demophon,1
TB,1700m,Satyrini,Chloreuptychia,Chloreuptychia herseis,1
TB,1700m,Satyrini,Magneuptychia,Magneuptychia iris,1
TB,1700m,Satyrini,Taygetis,Taygetis cleopatra,1
TB,1700m,Satyrini,Yphthimoides,Yphthimoides eriphule,3
TB,0m,Brassolini,Bia,Bia actorion,1
TB,0m,Coeini,Colobura,Colobura dirce,1
TB,0m,Callicorini,Diaethria,Diaethria clymena,1
TB,100m,Satyrini,Chloreuptychia,Chloreuptychia herseis,1
TB,300m,Satyrini,Chloreuptychia,Chloreuptychia herseis,1
TB,300m,Satyrini,Taygetis,Taygetis cleopatra,2
TB,700m,Brassolini,Eryphanis,Eryphanis lycomedon,1
TB,700m,Haeterini,Haetera,Haetera piera,1
TB,700m,Haeterini,Pierella,Pierella hyalinus,1
TB,700m,Satyrini,Caeruleuptychia,Caeruleuptychia cyanites,1
TB,700m,Satyrini,Chloreuptychia,Chloreuptychia arnaca ,2
TB,700m,Satyrini,Magneuptychia,Magneuptychia iris,1
TB,700m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,1
TB,700m,Satyrini,Taygetis,Taygetis cleopatra,1
TB,700m,Satyrini,Taygetis,Taygetis sosis,1
TB,1700m,Haeterini,Pierella,Pierella astyoche,2
TB,1700m,Haeterini,Pierella,Pierella hyalinus,3
TB,1700m,Satyrini,Taygetis,Taygetis cleopatra,1
TB,1700m,Morphini,Morpho,Morpho helenor,1
TB,1700m,Satyrini,Magneuptychia,Magneuptychia fugitiva,2
TB,0m,Callicorini,Diaethria,Diaethria clymena,2
TB,100m,Epicaliini,Catonephele,Catonephele acontius,1
TB,300m,Haeterini,Pierella,Pierella astyoche,1
TB,300m,Haeterini,Pierella,Pierella lena,1
TB,300m,Haeterini,Pierella,Pierella lena,1
TB,300m,Limenitidini,Adelpha,Adelpha cytherea,1
TB,300m,Satyrini,Taygetis,Taygetis virgilia,1
TB,300m,Satyrini,Yphthimoides,Yphthimoides eriphule,1
TB,700m,Haeterini,Pierella,Pierella lena,1
TB,1700m,Coeini,Colobura,Colobura annulata,1
TB,1700m,Haeterini,Pierella,Pierella hyalinus,1
TB,1700m,Satyrini,Chloreuptychia,Chloreuptychia arnaca ,2
TB,1700m,Satyrini,Magneuptychia,Magneuptychia iris,2
TB,1700m,Satyrini,Pareuptychia,Pareuptychia metaleuca,1
TB,1700m,Satyrini,Taygetis,Taygetis cleopatra,1
TB,0m,Anaeini,Zaretis,Zaretis itys,1
TB,0m,Epicaliini,Nessaea,Nessaea obrinus,1
TB,300m,s/a,s/a,s/a,0
TB,300m,Epicaliini,Nessaea,Nessaea obrinus,1
TB,300m,Satyrini,Chloreuptychia,Chloreuptychia herseis,1
TB,300m,Satyrini,Taygetis,Taygetis cleopatra,1
TB,700m,Haeterini,Pierella,Pierella hyalinus,1
TB,1700m,Epicaliini,Catonephele,Catonephele orites,1
TB,1700m,Epicaliini,Nessaea,Nessaea obrinus,2
TB,1700m,Haeterini,Chloreuptychia,Chloreuptychia arnaca ,1
TB,1700m,Satyrini,Cissia,Cissia proba,2
TB,1700m,Satyrini,Magneuptychia,Magneuptychia fugitiva,2
TC,0m,s/a,s/a,s/a,0
TC,100m,Epicaliini,Nessaea,Nessaea obrinus,1
TC,100m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,1
TC,300m,Epicaliini,Nessaea,Nessaea obrinus,1
TC,300m,Satyrini,Pareuptychia,Pareuptychia ocirrhoe,1
TC,300m,Satyrini,Taygetis,Taygetis cleopatra,1
TC,300m,Satyrini,Taygetis,Taygetis virgilia,1
TC,700m,Satyrini,Magneuptychia,Magneuptychia fugitiva,1
TC,700m,Satyrini,Taygetis,Taygetis cleopatra,1
TC,1700m,Haeterini,Pierella,Pierella lena,1
TC,0m,s/a,s/a,s/a,0
TC,100m,Epicaliini,Nessaea,Nessaea obrinus,1
TC,100m,Satyrini,Taygetis,Taygetis cleopatra,1
TC,100m,Satyrini,Taygetis,Taygetis virgilia,1
TC,300m,Satyrini,Magneuptychia,Magneuptychia iris,2
TC,700m,Morphini,Morpho,Morpho helenor,1
TC,1700m,Coeini,Colobura,Colobura dirce,1
